>>>> IterationI 0
Independent Set 0 :  LUT
Site 6 | (77, 123, 0) -> (77, 128, 6) | Instance:0
Site 7 | (77, 123, 2) -> (77, 127, 4) | Instance:0
Site 8 | (77, 126, 4) -> (76, 124, 0) | Instance:0
Site 9 | (77, 126, 6) -> (80, 125, 4) | Instance:0
Site 10 | (76, 125, 4) -> (75, 122, 0) | Instance:0
Site 11 | (76, 125, 6) -> (76, 126, 6) | Instance:0
Site 12 | (75, 124, 0) -> (75, 122, 2) | Instance:0
Site 13 | (75, 124, 2) -> (76, 123, 0) | Instance:0
Site 14 | (76, 123, 0) -> (77, 122, 0) | Instance:0
Site 15 | (76, 123, 2) -> (77, 121, 2) | Instance:0
Site 16 | (77, 122, 0) -> (77, 126, 6) | Instance:0
Site 17 | (77, 122, 2) -> (76, 127, 4) | Instance:0
Site 18 | (79, 125, 4) -> (76, 125, 6) | Instance:0
Site 19 | (79, 125, 6) -> (79, 126, 6) | Instance:0
Site 20 | (77, 127, 4) -> (75, 124, 2) | Instance:0
Site 21 | (77, 127, 6) -> (75, 126, 12) | Instance:0
Site 22 | (76, 126, 4) -> (76, 122, 0) | Instance:0
Site 23 | (76, 126, 6) -> (76, 125, 4) | Instance:0
Site 24 | (75, 125, 0) -> (77, 128, 4) | Instance:0
Site 25 | (75, 125, 2) -> (75, 124, 0) | Instance:0
Site 26 | (74, 124, 0) -> (76, 122, 2) | Instance:0
Site 27 | (74, 124, 2) -> (79, 125, 4) | Instance:0
Site 28 | (76, 122, 0) -> (77, 123, 0) | Instance:0
Site 29 | (76, 122, 2) -> (77, 125, 4) | Instance:0
Site 30 | (77, 121, 0) -> (74, 125, 0) | Instance:0
Site 31 | (77, 121, 2) -> (74, 123, 4) | Instance:0
Site 32 | (80, 125, 4) -> (77, 122, 2) | Instance:0
Site 33 | (80, 125, 6) -> (74, 123, 14) | Instance:0
Site 34 | (79, 126, 4) -> (75, 125, 0) | Instance:0
Site 35 | (79, 126, 6) -> (77, 124, 4) | Instance:0
Site 36 | (77, 128, 4) -> (74, 124, 0) | Instance:0
Site 37 | (77, 128, 6) -> (77, 125, 6) | Instance:0
Site 38 | (76, 127, 4) -> (74, 124, 2) | Instance:0
Site 39 | (76, 127, 6) -> (76, 124, 2) | Instance:0
Site 40 | (75, 126, 12) -> (77, 121, 0) | Instance:0
Site 41 | (75, 126, 14) -> (77, 123, 2) | Instance:0
Site 42 | (74, 125, 0) -> (79, 126, 4) | Instance:0
Site 43 | (74, 125, 2) -> (77, 126, 4) | Instance:0
Site 44 | (74, 123, 2) -> (74, 123, 2) | Instance:766
Site 45 | (74, 123, 4) -> (75, 126, 14) | Instance:748
Site 46 | (74, 123, 14) -> (76, 127, 6) | Instance:0
Site 47 | (75, 122, 0) -> (79, 125, 6) | Instance:0
Site 48 | (75, 122, 2) -> (75, 125, 2) | Instance:0
Total Cost: -4
Independent Set 5 :  LUT
Site 0 | (48, 119, 0) -> (52, 119, 0) | Instance:0
Site 1 | (48, 119, 2) -> (48, 122, 0) | Instance:0
Site 2 | (48, 119, 8) -> (50, 119, 8) | Instance:193
Site 3 | (48, 119, 10) -> (45, 119, 0) | Instance:1529
Site 4 | (48, 120, 0) -> (47, 122, 2) | Instance:0
Site 5 | (48, 120, 2) -> (48, 118, 2) | Instance:0
Site 6 | (47, 119, 0) -> (44, 119, 0) | Instance:0
Site 7 | (47, 119, 2) -> (48, 120, 2) | Instance:0
Site 8 | (48, 118, 0) -> (48, 123, 0) | Instance:0
Site 9 | (48, 118, 2) -> (47, 117, 2) | Instance:0
Site 10 | (50, 119, 6) -> (47, 116, 2) | Instance:0
Site 11 | (50, 119, 8) -> (45, 119, 2) | Instance:0
Site 12 | (48, 121, 0) -> (45, 118, 0) | Instance:0
Site 13 | (48, 121, 2) -> (52, 119, 2) | Instance:0
Site 14 | (48, 121, 12) -> (50, 121, 14) | Instance:661
Site 15 | (47, 120, 0) -> (48, 122, 10) | Instance:0
Site 16 | (47, 120, 2) -> (48, 123, 2) | Instance:0
Site 17 | (47, 118, 0) -> (47, 121, 2) | Instance:0
Site 18 | (47, 118, 2) -> (48, 120, 0) | Instance:0
Site 19 | (48, 117, 0) -> (47, 117, 0) | Instance:0
Site 20 | (48, 117, 2) -> (48, 119, 2) | Instance:0
Site 21 | (50, 120, 0) -> (48, 121, 2) | Instance:0
Site 22 | (50, 120, 2) -> (47, 121, 0) | Instance:0
Site 23 | (48, 122, 0) -> (48, 122, 8) | Instance:2240
Site 24 | (48, 122, 8) -> (48, 119, 10) | Instance:0
Site 25 | (48, 122, 10) -> (48, 116, 0) | Instance:0
Site 26 | (47, 121, 0) -> (48, 118, 0) | Instance:0
Site 27 | (47, 121, 2) -> (47, 122, 0) | Instance:0
Site 28 | (45, 119, 0) -> (47, 118, 0) | Instance:0
Site 29 | (45, 119, 2) -> (47, 120, 0) | Instance:0
Site 30 | (47, 117, 0) -> (48, 119, 0) | Instance:0
Site 31 | (47, 117, 2) -> (48, 116, 2) | Instance:0
Site 32 | (48, 116, 0) -> (50, 120, 2) | Instance:0
Site 33 | (48, 116, 2) -> (50, 120, 0) | Instance:0
Site 34 | (50, 118, 0) -> (48, 119, 8) | Instance:0
Site 35 | (50, 118, 2) -> (47, 120, 2) | Instance:0
Site 36 | (52, 119, 0) -> (47, 119, 0) | Instance:0
Site 37 | (52, 119, 2) -> (50, 118, 2) | Instance:0
Site 38 | (50, 121, 6) -> (48, 117, 2) | Instance:0
Site 39 | (50, 121, 14) -> (50, 121, 6) | Instance:1166
Site 40 | (48, 123, 0) -> (47, 119, 2) | Instance:0
Site 41 | (48, 123, 2) -> (48, 117, 0) | Instance:0
Site 42 | (47, 122, 0) -> (47, 118, 2) | Instance:0
Site 43 | (47, 122, 2) -> (50, 118, 0) | Instance:0
Site 44 | (44, 119, 0) -> (48, 121, 12) | Instance:0
Site 45 | (44, 119, 2) -> (44, 119, 2) | Instance:0
Site 46 | (45, 118, 0) -> (48, 121, 0) | Instance:0
Site 47 | (45, 118, 2) -> (47, 116, 0) | Instance:0
Site 48 | (47, 116, 0) -> (50, 119, 6) | Instance:0
Site 49 | (47, 116, 2) -> (45, 118, 2) | Instance:0
Total Cost: -25
Independent Set 6 :  LUT
Site 0 | (58, 138, 8) -> (56, 136, 10) | Instance:0
Site 1 | (58, 138, 10) -> (56, 138, 10) | Instance:0
Site 2 | (58, 139, 0) -> (58, 134, 0) | Instance:0
Site 3 | (58, 139, 2) -> (58, 137, 10) | Instance:0
Site 4 | (58, 137, 8) -> (61, 137, 2) | Instance:0
Site 5 | (58, 137, 10) -> (56, 137, 2) | Instance:0
Site 6 | (58, 140, 8) -> (58, 142, 0) | Instance:1634
Site 7 | (56, 138, 8) -> (56, 136, 8) | Instance:2439
Site 8 | (56, 138, 10) -> (55, 138, 0) | Instance:2441
Site 9 | (56, 138, 14) -> (61, 139, 10) | Instance:0
Site 10 | (58, 136, 0) -> (61, 137, 0) | Instance:0
Site 11 | (58, 136, 2) -> (60, 140, 2) | Instance:0
Site 12 | (58, 136, 8) -> (59, 136, 2) | Instance:1825
Site 13 | (61, 138, 0) -> (61, 138, 0) | Instance:2480
Site 14 | (61, 138, 6) -> (56, 138, 8) | Instance:0
Site 15 | (60, 139, 14) -> (59, 141, 0) | Instance:0
Site 16 | (58, 141, 0) -> (61, 138, 6) | Instance:0
Site 17 | (58, 141, 2) -> (55, 139, 0) | Instance:0
Site 18 | (56, 139, 0) -> (58, 138, 10) | Instance:0
Site 19 | (56, 139, 2) -> (60, 140, 0) | Instance:0
Site 20 | (55, 138, 0) -> (56, 138, 14) | Instance:0
Site 21 | (55, 138, 2) -> (61, 139, 8) | Instance:0
Site 22 | (56, 137, 0) -> (58, 136, 2) | Instance:0
Site 23 | (56, 137, 2) -> (59, 141, 2) | Instance:0
Site 24 | (59, 136, 0) -> (60, 139, 14) | Instance:0
Site 25 | (59, 136, 2) -> (58, 134, 2) | Instance:0
Site 26 | (61, 139, 8) -> (58, 136, 0) | Instance:0
Site 27 | (61, 139, 10) -> (54, 138, 2) | Instance:0
Site 28 | (60, 140, 0) -> (58, 141, 0) | Instance:0
Site 29 | (60, 140, 2) -> (54, 138, 10) | Instance:0
Site 30 | (59, 141, 0) -> (56, 137, 0) | Instance:0
Site 31 | (59, 141, 2) -> (59, 135, 10) | Instance:0
Site 32 | (58, 142, 0) -> (58, 140, 8) | Instance:0
Site 33 | (58, 142, 2) -> (58, 139, 0) | Instance:0
Site 34 | (56, 140, 8) -> (58, 141, 2) | Instance:0
Site 35 | (56, 140, 10) -> (59, 135, 8) | Instance:0
Site 36 | (55, 139, 0) -> (55, 138, 2) | Instance:0
Site 37 | (55, 139, 2) -> (58, 136, 8) | Instance:0
Site 38 | (54, 138, 2) -> (54, 138, 8) | Instance:1799
Site 39 | (54, 138, 8) -> (56, 139, 0) | Instance:0
Site 40 | (54, 138, 10) -> (56, 139, 2) | Instance:0
Site 41 | (56, 136, 8) -> (59, 136, 0) | Instance:0
Site 42 | (56, 136, 10) -> (56, 140, 10) | Instance:0
Site 43 | (58, 134, 0) -> (58, 137, 8) | Instance:0
Site 44 | (58, 134, 2) -> (56, 140, 8) | Instance:0
Site 45 | (59, 135, 8) -> (58, 139, 2) | Instance:0
Site 46 | (59, 135, 10) -> (58, 142, 2) | Instance:0
Site 47 | (61, 137, 0) -> (58, 138, 8) | Instance:0
Site 48 | (61, 137, 2) -> (55, 139, 2) | Instance:0
Total Cost: -8
Independent Set 7 :  LUT
Site 0 | (58, 138, 12) -> (60, 141, 10) | Instance:0
Site 1 | (58, 138, 14) -> (58, 142, 4) | Instance:0
Site 2 | (58, 139, 4) -> (63, 138, 6) | Instance:0
Site 3 | (58, 139, 6) -> (58, 137, 14) | Instance:0
Site 4 | (58, 137, 12) -> (61, 137, 6) | Instance:0
Site 5 | (58, 137, 14) -> (56, 137, 6) | Instance:0
Site 6 | (58, 136, 4) -> (58, 134, 6) | Instance:0
Site 7 | (58, 136, 6) -> (61, 139, 12) | Instance:0
Site 8 | (58, 141, 4) -> (63, 138, 4) | Instance:0
Site 9 | (58, 141, 6) -> (59, 136, 4) | Instance:0
Site 10 | (56, 139, 4) -> (58, 138, 12) | Instance:0
Site 11 | (56, 139, 6) -> (56, 140, 12) | Instance:0
Site 12 | (55, 138, 4) -> (58, 137, 12) | Instance:0
Site 13 | (55, 138, 6) -> (63, 138, 0) | Instance:0
Site 14 | (56, 137, 4) -> (58, 136, 4) | Instance:0
Site 15 | (56, 137, 6) -> (59, 135, 12) | Instance:0
Site 16 | (59, 136, 4) -> (58, 136, 6) | Instance:0
Site 17 | (59, 136, 6) -> (55, 139, 6) | Instance:0
Site 18 | (61, 139, 12) -> (58, 138, 14) | Instance:0
Site 19 | (61, 139, 14) -> (56, 139, 4) | Instance:0
Site 20 | (60, 140, 4) -> (58, 141, 6) | Instance:0
Site 21 | (60, 140, 6) -> (60, 141, 4) | Instance:0
Site 22 | (59, 141, 4) -> (60, 140, 4) | Instance:0
Site 23 | (59, 141, 6) -> (58, 134, 4) | Instance:0
Site 24 | (58, 142, 4) -> (61, 139, 14) | Instance:0
Site 25 | (58, 142, 6) -> (56, 137, 4) | Instance:0
Site 26 | (56, 140, 12) -> (59, 141, 4) | Instance:0
Site 27 | (56, 140, 14) -> (59, 135, 14) | Instance:0
Site 28 | (55, 139, 4) -> (60, 140, 6) | Instance:0
Site 29 | (55, 139, 6) -> (61, 140, 0) | Instance:0
Site 30 | (54, 138, 12) -> (56, 136, 12) | Instance:0
Site 31 | (54, 138, 14) -> (61, 137, 4) | Instance:0
Site 32 | (56, 136, 12) -> (54, 138, 14) | Instance:0
Site 33 | (56, 136, 14) -> (58, 139, 4) | Instance:0
Site 34 | (58, 134, 4) -> (55, 139, 4) | Instance:0
Site 35 | (58, 134, 6) -> (60, 141, 8) | Instance:0
Site 36 | (59, 135, 12) -> (55, 138, 4) | Instance:0
Site 37 | (59, 135, 14) -> (61, 140, 2) | Instance:0
